@relation extracted_sessions_numeric
@attribute duration integer
@attribute requests_count integer
@attribute average_request_duration real
@data
462,2,462.0
835,4,278.3333333333333
560,2,560.0
563,3,281.5
412,2,412.0
38,3,19.0
487,3,243.5
332,2,332.0
754,5,188.5
385,3,192.5
184,2,184.0
293,2,293.0
172,2,172.0
599,3,299.5
129,2,129.0
573,2,573.0
417,2,417.0
682,3,341.0
451,2,451.0
234,2,234.0
231,3,115.5
19,2,19.0
46,2,46.0
1024,3,512.0
446,2,446.0
509,2,509.0
906,3,453.0
1041,3,520.5
170,2,170.0
575,2,575.0
504,2,504.0
146,3,73.0
604,11,60.4
43,2,43.0
99,2,99.0
417,2,417.0
99,2,99.0
333,2,333.0
574,7,95.66666666666667
372,3,186.0
73,3,36.5
151,2,151.0
10,2,10.0
999,3,499.5
549,2,549.0
127,2,127.0
114,4,38.0
321,2,321.0
331,2,331.0
300,2,300.0
530,3,265.0
399,3,199.5
31,2,31.0
36,2,36.0
193,4,64.33333333333333
37,4,12.333333333333334
492,2,492.0
134,4,44.666666666666664
344,2,344.0
36,2,36.0
81,2,81.0
250,2,250.0
745,4,248.33333333333334
472,2,472.0
309,2,309.0
681,3,340.5
502,2,502.0
579,2,579.0
167,2,167.0
524,5,131.0
554,3,277.0
831,4,277.0
203,2,203.0
60,2,60.0
275,2,275.0
372,2,372.0
153,3,76.5
612,4,204.0
810,4,270.0
107,2,107.0
168,2,168.0
466,2,466.0
447,2,447.0
108,2,108.0
857,3,428.5
360,2,360.0
410,2,410.0
276,2,276.0
212,2,212.0
489,2,489.0
823,3,411.5
207,2,207.0
160,2,160.0
396,2,396.0
158,5,39.5
809,3,404.5
306,2,306.0
215,2,215.0
522,2,522.0
348,2,348.0
798,3,399.0
277,2,277.0
589,2,589.0
309,4,103.0
242,2,242.0
935,4,311.6666666666667
578,2,578.0
339,2,339.0
276,2,276.0
256,2,256.0
101,2,101.0
111,2,111.0
477,2,477.0
11,2,11.0
219,4,73.0
1048,5,262.0
184,2,184.0
262,2,262.0
463,2,463.0
528,2,528.0
254,4,84.66666666666667
748,3,374.0
567,2,567.0
14,3,7.0
10,2,10.0
20,2,20.0
18,2,18.0
168,2,168.0
261,3,130.5
117,2,117.0
172,2,172.0
287,3,143.5
745,3,372.5
450,2,450.0
153,3,76.5
45,3,22.5
570,2,570.0
414,2,414.0
341,2,341.0
253,2,253.0
44,2,44.0
1527,4,509.0
563,2,563.0
469,2,469.0
419,2,419.0
101,2,101.0
1332,5,333.0
489,2,489.0
379,2,379.0
59,4,19.666666666666668
565,2,565.0
255,6,51.0
3,2,3.0
613,5,153.25
232,2,232.0
236,3,118.0
767,4,255.66666666666666
24,2,24.0
5,2,5.0
262,2,262.0
73,2,73.0
127,2,127.0
61,2,61.0
32,2,32.0
46,2,46.0
361,2,361.0
476,3,238.0
378,2,378.0
571,4,190.33333333333334
391,2,391.0
188,2,188.0
551,4,183.66666666666666
382,4,127.33333333333333
133,2,133.0
595,2,595.0
131,3,65.5
86,2,86.0
391,2,391.0
268,2,268.0
179,2,179.0
336,2,336.0
357,3,178.5
222,2,222.0
36,2,36.0
45,4,15.0
276,4,92.0
44,2,44.0
34,2,34.0
284,7,47.333333333333336
27,2,27.0
206,2,206.0
527,2,527.0
694,4,231.33333333333334
423,2,423.0
58,3,29.0
33,3,16.5
424,2,424.0
371,3,185.5
107,2,107.0
566,2,566.0
507,2,507.0
363,2,363.0
929,3,464.5
290,2,290.0
258,2,258.0
474,2,474.0
97,2,97.0
475,2,475.0
477,2,477.0
266,3,133.0
175,2,175.0
390,2,390.0
112,3,56.0
546,3,273.0
455,2,455.0
208,3,104.0
752,3,376.0
140,3,70.0
800,4,266.6666666666667
75,2,75.0
1019,4,339.6666666666667
1045,5,261.25
462,2,462.0
147,2,147.0
1008,10,112.0
10,2,10.0
418,2,418.0
18,2,18.0
69,3,34.5
225,2,225.0
66,2,66.0
306,2,306.0
30,2,30.0
222,4,74.0
248,2,248.0
223,2,223.0
126,3,63.0
74,3,37.0
61,3,30.5
66,2,66.0
200,4,66.66666666666667
493,3,246.5
350,4,116.66666666666667
913,8,130.42857142857142
67,2,67.0
219,4,73.0
1018,15,72.71428571428571
53,2,53.0
559,3,279.5
77,3,38.5
68,5,17.0
294,6,58.8
949,4,316.3333333333333
107,9,13.375
495,2,495.0
11,2,11.0
591,2,591.0
476,2,476.0
813,4,271.0
67,2,67.0
333,10,37.0
66,3,33.0
391,2,391.0
67,3,33.5
25,2,25.0
448,3,224.0
1713,13,142.75
308,3,154.0
73,2,73.0
73,3,36.5
42,3,21.0
54,3,27.0
638,5,159.5
71,3,35.5
316,6,63.2
40,3,20.0
40,3,20.0
244,6,48.8
432,3,216.0
358,2,358.0
114,4,38.0
953,8,136.14285714285714
862,4,287.3333333333333
233,2,233.0
48,2,48.0
341,2,341.0
92,3,46.0
26,2,26.0
1085,4,361.6666666666667
626,4,208.66666666666666
15,2,15.0
664,7,110.66666666666667
565,5,141.25
510,6,102.0
150,4,50.0
441,5,110.25
108,3,54.0
514,6,102.8
1077,14,82.84615384615384
775,6,155.0
820,14,63.07692307692308
59,3,29.5
47,5,11.75
639,3,319.5
93,2,93.0
93,4,31.0
213,4,71.0
144,4,48.0
101,3,50.5
308,3,154.0
140,3,70.0
180,2,180.0
581,2,581.0
